text,expert_label
Quem criou você?,alyssa
Por que te chamo Alyssa?,alyssa
Qual seu segredo?,alyssa
Qual sua função?,alyssa
Por que você existe?,alyssa
Me conte sobre si mesma.,alyssa
Me fale de você.,alyssa
Quem criou você?,alyssa
O que te torna única?,alyssa
Qual seu propósito principal?,alyssa
Me fale de você.,alyssa
Por que você existe?,alyssa
Qual seu papel aqui?,alyssa
Qual sua personalidade?,alyssa
Qual seu papel aqui?,alyssa
